2019-09-25 10:32:21.262  INFO   --- [AWT-EventQueue-0] c.s.basestation2.BaseStation2App         : basePath: /opt/StayPrime/BaseStation/
2019-09-25 10:32:21.340 DEBUG   --- [AWT-EventQueue-0] c.s.b.i.ApplicationInstanceManager       : Listening for application instances on socket 44331
2019-09-25 10:32:21.343  INFO   --- [AWT-EventQueue-0] com.stayprime.util.ClassUtilities        : StayPrime BaseStation Application
2019-09-25 10:32:21.353  INFO   --- [AWT-EventQueue-0] com.stayprime.util.ClassUtilities        : Version: 3.0.3null  built: on 19 Sept 2019null
2019-09-25 10:32:21.354  INFO   --- [AWT-EventQueue-0] c.s.basestation2.BaseStation2App         : System Startup time: Wed Sep 25 10:32:20 IST 2019
2019-09-25 10:32:21.355  INFO   --- [AWT-EventQueue-0] c.s.basestation2.BaseStation2App         : Desktop session env variable: ubuntu
2019-09-25 10:32:29.123  WARN   --- [AWT-EventQueue-0] c.s.b.ui.modules.CartUpdatePanel         : org.apache.commons.configuration.ConfigurationException: Cannot locate configuration source update.properties
2019-09-25 10:32:31.121  INFO 13192 --- [pool-1-thread-1] o.s.boot.SpringApplication               : Starting application on stayprime-Aspire-V5-573G with PID 13192 (started by stayprime in /netbeansBaseStation/stayprime-basestation/build/libs)
2019-09-25 10:32:31.122  INFO 13192 --- [pool-1-thread-1] o.s.boot.SpringApplication               : No active profile set, falling back to default profiles: default
2019-09-25 10:32:31.779  INFO 13192 --- [pool-1-thread-1] s.c.a.AnnotationConfigApplicationContext : Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@31efbf1e: startup date [Wed Sep 25 10:32:31 IST 2019]; root of context hierarchy
2019-09-25 10:32:35.459  INFO 13192 --- [pool-1-thread-1] f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-09-25 10:32:35.968  INFO 13192 --- [pool-1-thread-1] c.s.basestation2.SpringApplication       : basePath: /opt/StayPrime/BaseStation/
2019-09-25 10:32:36.150  INFO 13192 --- [pool-1-thread-1] c.s.b.config.DataSourceConfig            : Creating dataSource for db: jdbc:mysql://spgcclouddb.cwzzsl1wpj65.eu-central-1.rds.amazonaws.com:3306/sp1?zeroDateTimeBehavior=convertToNull&useLegacyDatetimeCode=false
2019-09-25 10:32:36.153  INFO 13192 --- [pool-1-thread-1] com.zaxxer.hikari.HikariDataSource       : HikariCP pool HikariPool-0 is starting.
2019-09-25 10:32:38.670 DEBUG 13192 --- [pool-1-thread-1] c.s.b.config.DataSourceConfig            : Created dataSource in 2520 ms
2019-09-25 10:32:40.819  INFO 13192 --- [pool-1-thread-1] j.LocalContainerEntityManagerFactoryBean : Building JPA container EntityManagerFactory for persistence unit 'default'
2019-09-25 10:32:40.876  INFO 13192 --- [pool-1-thread-1] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-09-25 10:32:41.086  INFO 13192 --- [pool-1-thread-1] org.hibernate.Version                    : HHH000412: Hibernate Core {4.3.11.Final}
