2019-09-25 09:10:45.073  INFO   --- [AWT-EventQueue-1] c.s.basestation2.BaseStation2App         : basePath: /netbeansBaseStation/stayprime-basestation/run
2019-09-25 09:10:45.257 DEBUG   --- [AWT-EventQueue-1] c.s.b.i.ApplicationInstanceManager       : Listening for application instances on socket 44331
2019-09-25 09:10:45.259  INFO   --- [AWT-EventQueue-1] com.stayprime.util.ClassUtilities        : StayPrime BaseStation Application
2019-09-25 09:10:45.268  INFO   --- [AWT-EventQueue-1] com.stayprime.util.ClassUtilities        : Version: 3.0.3null  built: on 19 Sept 2019null
2019-09-25 09:10:45.269  INFO   --- [AWT-EventQueue-1] c.s.basestation2.BaseStation2App         : System Startup time: Wed Sep 25 09:10:44 IST 2019
2019-09-25 09:10:45.270  INFO   --- [AWT-EventQueue-1] c.s.basestation2.BaseStation2App         : Desktop session env variable: ubuntu
2019-09-25 09:10:54.805  WARN   --- [AWT-EventQueue-1] c.s.b.ui.modules.CartUpdatePanel         : org.apache.commons.configuration.ConfigurationException: Cannot locate configuration source update.properties
2019-09-25 09:10:58.007  INFO 9710 --- [pool-1-thread-1] o.s.boot.SpringApplication               : Starting application on stayprime-Aspire-V5-573G with PID 9710 (/home/stayprime/.gradle/caches/modules-2/files-2.1/org.springframework.boot/spring-boot/1.3.6.RELEASE/535e6024988998f891f1f9df403e804c093df06b/spring-boot-1.3.6.RELEASE.jar started by stayprime in /netbeansBaseStation/stayprime-basestation/run)
2019-09-25 09:10:58.008  INFO 9710 --- [pool-1-thread-1] o.s.boot.SpringApplication               : No active profile set, falling back to default profiles: default
2019-09-25 09:10:58.683  INFO 9710 --- [pool-1-thread-1] s.c.a.AnnotationConfigApplicationContext : Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@91ca16d: startup date [Wed Sep 25 09:10:58 IST 2019]; root of context hierarchy
2019-09-25 09:11:01.701  INFO 9710 --- [pool-1-thread-1] f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-09-25 09:11:02.072  INFO 9710 --- [pool-1-thread-1] c.s.basestation2.SpringApplication       : basePath: /netbeansBaseStation/stayprime-basestation/run
2019-09-25 09:11:02.355  INFO 9710 --- [pool-1-thread-1] c.s.b.config.DataSourceConfig            : Creating dataSource for db: jdbc:mysql://spgcclouddb.cwzzsl1wpj65.eu-central-1.rds.amazonaws.com:3306/sp1?zeroDateTimeBehavior=convertToNull&useLegacyDatetimeCode=false
2019-09-25 09:11:02.385  INFO 9710 --- [pool-1-thread-1] com.zaxxer.hikari.HikariDataSource       : HikariCP pool HikariPool-0 is starting.
2019-09-25 09:11:05.240 DEBUG 9710 --- [pool-1-thread-1] c.s.b.config.DataSourceConfig            : Created dataSource in 2884 ms
2019-09-25 09:11:07.467  INFO 9710 --- [pool-1-thread-1] j.LocalContainerEntityManagerFactoryBean : Building JPA container EntityManagerFactory for persistence unit 'default'
2019-09-25 09:11:07.557  INFO 9710 --- [pool-1-thread-1] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-09-25 09:11:07.777  INFO 9710 --- [pool-1-thread-1] org.hibernate.Version                    : HHH000412: Hibernate Core {4.3.11.Final}
2019-09-25 09:11:07.780  INFO 9710 --- [pool-1-thread-1] org.hibernate.cfg.Environment            : HHH000206: hibernate.properties not found
2019-09-25 09:11:07.788  INFO 9710 --- [pool-1-thread-1] org.hibernate.cfg.Environment            : HHH000021: Bytecode provider name : javassist
2019-09-25 09:11:08.210  INFO 9710 --- [pool-1-thread-1] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
